slug,vercel_project,env_VITE_CLIENT_SLUG,status
adam-burdanowski-trener-personalny,trener-adam-burdanowski-trener-personalny,adam-burdanowski-trener-personalny,deployed
anna-mikolajska-trener-personalny,trener-anna-mikolajska-trener-personalny,anna-mikolajska-trener-personalny,deployed
arkadiusz-czajkowski-trener-personalny,trener-arkadiusz-czajkowski-trener-personalny,arkadiusz-czajkowski-trener-personalny,deployed
balance-motion-zuzanna-majewska,trener-balance-motion-zuzanna-majewska,balance-motion-zuzanna-majewska,ready
bartosz-jaszczak-trener-personalny-bydgoszcz,trener-bartosz-jaszczak-trener-personalny-bydgoszcz,bartosz-jaszczak-trener-personalny-bydgoszcz,deployed
bartosz-trzebiatowski-trener-personalny,trener-bartosz-trzebiatowski-trener-personalny,bartosz-trzebiatowski-trener-personalny,deployed
bartosz-tywusik-trener-personalny,trener-bartosz-tywusik-trener-personalny,bartosz-tywusik-trener-personalny,deployed
bioneuro-sports,trener-bioneuro-sports,bioneuro-sports,ready
damian-piskorz,trener-damian-piskorz,damian-piskorz,deployed
daria-michalowska-trener-personalny,trener-daria-michalowska-trener-personalny,daria-michalowska-trener-personalny,deployed
daria-petla-trener-personalny,trener-daria-petla-trener-personalny,daria-petla-trener-personalny,deployed
dawid-cichanski,trener-dawid-cichanski,dawid-cichanski,deployed
dietetyk-bydgoszcz-tomasz-giza,trener-dietetyk-bydgoszcz-tomasz-giza,dietetyk-bydgoszcz-tomasz-giza,deployed
dofizjo-fizjoterapia-rehabilitacja-pourazowa-trening-personalny,trener-dofizjo-fizjoterapia-rehabilitacja-pourazowa-trening-personalny,dofizjo-fizjoterapia-rehabilitacja-pourazowa-trening-personalny,ready
fit4don,trener-fit4don,fit4don,ready
fizjoterapeuta-i-trener-medyczny-pawel-szczechowicz,trener-fizjoterapeuta-i-trener-medyczny-pawel-szczechowicz,fizjoterapeuta-i-trener-medyczny-pawel-szczechowicz,ready
fizjoterapia-trening-agnieszka-majewska,trener-fizjoterapia-trening-agnieszka-majewska,fizjoterapia-trening-agnieszka-majewska,ready
forever-athlete-vincent-marek,trener-forever-athlete-vincent-marek,forever-athlete-vincent-marek,deployed
fusion-pole-gym,trener-fusion-pole-gym,fusion-pole-gym,ready
jagoda-konczal-trener-personalny,trener-jagoda-konczal-trener-personalny,jagoda-konczal-trener-personalny,deployed
jakub-stypczynski-trener-personalny-bydgoszcz,trener-jakub-stypczynski-trener-personalny-bydgoszcz,jakub-stypczynski-trener-personalny-bydgoszcz,deployed
kacper-wendrowski-trener-personalny-bydgoszcz,trener-kacper-wendrowski-trener-personalny-bydgoszcz,kacper-wendrowski-trener-personalny-bydgoszcz,ready
kaja-narkun,trener-kaja-narkun,kaja-narkun,ready
kamil-rzepka-body-practiz-trener-personalny-trener-osobisty,trener-kamil-rzepka-body-practiz-trener-personalny-trener-osobisty,kamil-rzepka-body-practiz-trener-personalny-trener-osobisty,deployed
karol-siemianowski,trener-karol-siemianowski,karol-siemianowski,deployed
klinika-sportu-jacka-goralskiego,trener-klinika-sportu-jacka-goralskiego,klinika-sportu-jacka-goralskiego,ready
lukasz-dziennik-atletyczna-sila,trener-lukasz-dziennik-atletyczna-sila,lukasz-dziennik-atletyczna-sila,deployed
maciej-karolczyk-trener-personalny,trener-maciej-karolczyk-trener-personalny,maciej-karolczyk-trener-personalny,ready
maja-burek-trener-personalny,trener-maja-burek-trener-personalny,maja-burek-trener-personalny,deployed
maksymilian-papierowski-trener-personalny,trener-maksymilian-papierowski-trener-personalny,maksymilian-papierowski-trener-personalny,ready
marcin-osak-trener-personalny,trener-marcin-osak-trener-personalny,marcin-osak-trener-personalny,deployed
mateusz-gawarkiewicz,trener-mateusz-gawarkiewicz,mateusz-gawarkiewicz,ready
mateusz-mazur,trener-mateusz-mazur,mateusz-mazur,deployed
mikolaj-karaszewski-fitness-lifestyle,trener-mikolaj-karaszewski-fitness-lifestyle,mikolaj-karaszewski-fitness-lifestyle,ready
norbert-lysiak-trener-osobisty-triathlon-mtb-plywanie,trener-norbert-lysiak-trener-osobisty-triathlon-mtb-plywanie,norbert-lysiak-trener-osobisty-triathlon-mtb-plywanie,deployed
oskar-kaliszewski-trener-personalny,trener-oskar-kaliszewski-trener-personalny,oskar-kaliszewski-trener-personalny,deployed
patryk-kozikowski,trener-patryk-kozikowski,patryk-kozikowski,deployed
patryk-michalek-trener-personalny,trener-patryk-michalek-trener-personalny,patryk-michalek-trener-personalny,deployed
rehaformove,trener-rehaformove,rehaformove,ready
ruch-studio-treningu-trener-personalny-bydgoszcz,trener-ruch-studio-treningu-trener-personalny-bydgoszcz,ruch-studio-treningu-trener-personalny-bydgoszcz,ready
smart-sport-education-center,trener-smart-sport-education-center,smart-sport-education-center,ready
sporthub-studio-treningu-personalnego-trening-personalny-trening-dla-kobiet-bydgoszcz,trener-sporthub-studio-treningu-personalnego-trening-personalny-trening-dla-kobiet-bydgoszcz,sporthub-studio-treningu-personalnego-trening-personalny-trening-dla-kobiet-bydgoszcz,ready
stf-studio-treningu-funkcjonalnego-trener-osobisty-bydgoszcz,trener-stf-studio-treningu-funkcjonalnego-trener-osobisty-bydgoszcz,stf-studio-treningu-funkcjonalnego-trener-osobisty-bydgoszcz,ready
strefa-sprawnych-miesni-fizjoterapia-i-trening,trener-strefa-sprawnych-miesni-fizjoterapia-i-trening,strefa-sprawnych-miesni-fizjoterapia-i-trening,ready
studio-rownowaga-trening-medyczny,trener-studio-rownowaga-trening-medyczny,studio-rownowaga-trening-medyczny,ready
trener-biegania-bydgoszcz-brzezinski,trener-trener-biegania-bydgoszcz-brzezinski,trener-biegania-bydgoszcz-brzezinski,ready
trener-personalny-bydgoszcz-nicolas-marysiak,trener-trener-personalny-bydgoszcz-nicolas-marysiak,trener-personalny-bydgoszcz-nicolas-marysiak,deployed
trener-personalny-kamil-makowski,trener-trener-personalny-kamil-makowski,trener-personalny-kamil-makowski,deployed
trener-personalny-kamil-tyma,trener-trener-personalny-kamil-tyma,trener-personalny-kamil-tyma,deployed
trener-personalny-szymon-idzinski,trener-trener-personalny-szymon-idzinski,trener-personalny-szymon-idzinski,deployed
trener-radoslaw-habera,trener-trener-radoslaw-habera,trener-radoslaw-habera,deployed
trenerka-werka-weronika-szyczewska-tchorzewska,trener-trenerka-werka-weronika-szyczewska-tchorzewska,trenerka-werka-weronika-szyczewska-tchorzewska,ready
tutrenuje,trener-tutrenuje,tutrenuje,ready
warownia,trener-warownia,warownia,ready
wiktoria-wasik,trener-wiktoria-wasik,wiktoria-wasik,deployed
